Price;Close;High;Low;Open;Volume;
Ticker;^FCHI;^FCHI;^FCHI;^FCHI;^FCHI;
Date;;;;;;
02/01/2025;7393.759765625;7399.25;7285.2998046875;7374.58984375;52769000;
03/01/2025;7282.22021484375;7387.97021484375;7270.56982421875;7387.97021484375;61578200;
06/01/2025;7445.68994140625;7454.8701171875;7304.47021484375;7313.35986328125;78726100;
07/01/2025;7489.35009765625;7516.9501953125;7417.419921875;7451.33984375;68128400;
08/01/2025;7452.419921875;7496.509765625;7396.68017578125;7489.2001953125;68013600;
09/01/2025;7490.27978515625;7504.10986328125;7413.14990234375;7421.2001953125;46769000;
10/01/2025;7431.0400390625;7521.22021484375;7417.58984375;7495.2099609375;65416600;
13/01/2025;7408.64013671875;7424.509765625;7353.0498046875;7409.56005859375;61436800;
14/01/2025;7423.669921875;7499.77001953125;7423.490234375;7481.9501953125;75439900;
15/01/2025;7474.58984375;7514.91015625;7415.52001953125;7447.39013671875;90347900;
16/01/2025;7634.740234375;7634.740234375;7567.669921875;7591.35009765625;74666800;
17/01/2025;7709.75;7732.31982421875;7667.85009765625;7685.0400390625;93238600;
20/01/2025;7733.5;7766.240234375;7707.2900390625;7722.1201171875;66371900;
21/01/2025;7770.9501953125;7774.759765625;7713.259765625;7724.33984375;62824400;
22/01/2025;7837.39990234375;7873.97998046875;7773.64013671875;7783.2998046875;70350300;
23/01/2025;7892.60986328125;7896.97021484375;7829.39990234375;7851.39990234375;67604300;
24/01/2025;7927.6201171875;7988.85009765625;7904.169921875;7958.919921875;65431800;
27/01/2025;7906.580078125;7928.41015625;7844.41015625;7873.7001953125;87932900;
28/01/2025;7897.3701171875;7955.4599609375;7879.330078125;7899.27978515625;73336500;
29/01/2025;7872.47998046875;7891.58984375;7848.759765625;7874.72021484375;61912300;
30/01/2025;7941.64013671875;7951.85009765625;7889.22021484375;7904.47021484375;71722800;
31/01/2025;7950.169921875;7996.41015625;7928.83984375;7954.43017578125;77134700;
03/02/2025;7854.919921875;7875.580078125;7785.8701171875;7786.31982421875;85149300;
04/02/2025;7906.39990234375;7915.52978515625;7808.10986328125;7870.2900390625;83795000;
05/02/2025;7891.68017578125;7900.7099609375;7858.22021484375;7888.60009765625;63874400;
06/02/2025;8007.6201171875;8024.8798828125;7906.35986328125;7918.35986328125;104325900;
07/02/2025;7973.02978515625;8027.0498046875;7954.89990234375;7998.3798828125;86935500;
10/02/2025;8006.22021484375;8014.1298828125;7971.14990234375;7977.759765625;69365400;
11/02/2025;8028.89990234375;8037.240234375;7995.64990234375;8013.009765625;63982300;
12/02/2025;8042.18994140625;8067.06982421875;7984.72021484375;8039.60986328125;83614200;
